cache size,block size,associative,d-miss rate,i-miss rate,mem write
1024,16,1,0.1335,0.0937,1177
1024,16,2,0.1802,0.1392,1678
1024,16,4,0.2812,0.1665,2554
1024,16,8,0.3655,0.1825,3245
1024,64,1,0.1378,0.0521,1305
1024,64,2,0.2565,0.072,2407
1024,64,4,0.3093,0.0901,2773
1024,64,8,0.4436,0.1163,3404
2048,16,1,0.0445,0.0583,315
2048,16,2,0.0761,0.0885,710
2048,16,4,0.1503,0.1341,1377
2048,16,8,0.192,0.1587,1746
2048,64,1,0.0314,0.0353,220
2048,64,2,0.1106,0.0504,1018
2048,64,4,0.1823,0.0704,1709
2048,64,8,0.1371,0.0881,1362
4096,16,1,0.031,0.0421,152
4096,16,2,0.0257,0.0446,108
4096,16,4,0.0288,0.0673,181
4096,16,8,0.0319,0.1039,178
4096,64,1,0.0229,0.02,151
4096,64,2,0.0229,0.0316,137
4096,64,4,0.0485,0.0448,536
4096,64,8,0.0714,0.0639,807
8192,16,1,0.0229,0.0249,77
8192,16,2,0.0179,0.0215,19
8192,16,4,0.0145,0.0223,4
8192,16,8,0.0145,0.0192,1
8192,64,1,0.0144,0.0116,79
8192,64,2,0.0105,0.0127,50
8192,64,4,0.0061,0.0205,13
8192,64,8,0.0059,0.0217,1
16384,16,1,0.0172,0.0158,36
16384,16,2,0.015,0.0122,6
16384,16,4,0.0145,0.0099,0
16384,16,8,0.0145,0.0093,0
16384,64,1,0.0075,0.0068,24
16384,64,2,0.0062,0.0051,6
16384,64,4,0.0057,0.0042,0
16384,64,8,0.0057,0.0035,0
