cache size,block size,associative,d-miss rate,i-miss rate,mem write
1024,16,1,0.2376,0.2133,2636
1024,16,2,0.2011,0.2226,2050
1024,16,4,0.2333,0.22,2484
1024,16,8,0.2805,0.2368,3141
1024,64,1,0.2731,0.0941,2856
1024,64,2,0.236,0.0968,2203
1024,64,4,0.2859,0.1055,2617
1024,64,8,0.3598,0.1163,2888
2048,16,1,0.1928,0.1704,2080
2048,16,2,0.151,0.1829,1400
2048,16,4,0.1716,0.1743,1712
2048,16,8,0.1891,0.173,1904
2048,64,1,0.2189,0.0738,2368
2048,64,2,0.1737,0.0822,1418
2048,64,4,0.1933,0.0783,1624
2048,64,8,0.2412,0.0793,2129
4096,16,1,0.1064,0.1304,902
4096,16,2,0.1052,0.1255,945
4096,16,4,0.1099,0.1446,944
4096,16,8,0.1179,0.1416,1079
4096,64,1,0.1048,0.0575,831
4096,64,2,0.1212,0.0559,1034
4096,64,4,0.1248,0.0635,936
4096,64,8,0.1429,0.0647,1183
8192,16,1,0.0773,0.1087,536
8192,16,2,0.072,0.0871,499
8192,16,4,0.0674,0.0961,522
8192,16,8,0.0631,0.1009,559
8192,64,1,0.0701,0.0488,507
8192,64,2,0.0691,0.0388,488
8192,64,4,0.0779,0.0424,574
8192,64,8,0.0754,0.051,516
16384,16,1,0.0559,0.0655,191
16384,16,2,0.0508,0.0622,199
16384,16,4,0.0465,0.0559,117
16384,16,8,0.0441,0.0574,98
16384,64,1,0.0432,0.0295,213
16384,64,2,0.0375,0.029,218
16384,64,4,0.039,0.0265,237
16384,64,8,0.0383,0.029,260
